iter	Passed	Remaining
788	11447	423819
789	11463	423869
790	11480	423943
791	11497	424009
792	11509	423899
793	11520	423762
794	11533	423697
795	11544	423562
796	11559	423545
797	11574	423543
798	11590	423592
799	11604	423559
800	11615	423438
801	11631	423480
802	11647	423495
803	11661	423471
804	11674	423384
805	11690	423449
806	11705	423446
807	11718	423365
808	11732	423351
809	11749	423412
810	11761	423304
811	11774	423241
812	11791	423307
813	11803	423231
814	11816	423161
815	11833	423236
816	11849	423259
817	11863	423235
818	11880	423311
819	11898	423399
820	11915	423469
821	11928	423411
822	11945	423506
823	11962	423576
824	11978	423607
825	11995	423680
826	12008	423600
827	12020	423496
828	12035	423493
829	12049	423486
830	12062	423394
831	12074	423291
832	12087	423220
833	12102	423250
834	12117	423249
835	12132	423240
836	12151	423402
837	12162	423241
838	12177	423236
839	12190	423194
840	12206	423237
841	12223	423292
842	12239	423336
843	12253	423282
844	12265	423188
845	12278	423129
846	12292	423093
847	12308	423144
848	12323	423134
849	12334	422994
850	12350	423027
851	12362	422939
852	12373	422786
853	12385	422704
854	12398	422629
855	12409	422511
856	12420	422364
857	12435	422388
858	12450	422365
859	12462	422275
860	12479	422335
861	12492	422281
862	12504	422183
863	12515	422065
864	12528	421974
865	12539	421859
866	12551	421742
867	12563	421644
868	12576	421595
869	12590	421552
870	12601	421436
871	12617	421486
872	12629	421366
873	12641	421269
874	12652	421155
875	12665	421072
876	12682	421149
877	12697	421141
878	12714	421211
879	12727	421172
880	12742	421180
881	12755	421094
882	12771	421136
883	12783	421030
884	12799	421078
885	12813	421065
886	12828	421049
887	12837	420875
888	12853	420895
889	12867	420883
890	12883	420889
891	12897	420888
892	12914	420950
893	12928	420927
894	12939	420800
895	12953	420748
896	12968	420764
897	12983	420771
898	12999	420813
899	13014	420794
900	13025	420663
901	13039	420647
902	13054	420644
903	13069	420647
904	13085	420691
905	13103	420798
906	13116	420731
907	13131	420731
908	13145	420703
909	13160	420712
910	13177	420764
911	13193	420789
912	13208	420791
913	13221	420740
914	13235	420721
915	13252	420767
916	13265	420711
917	13281	420756
918	13293	420649
919	13309	420695
920	13320	420580
921	13332	420494
922	13344	420384
923	13355	420256
924	13368	420216
925	13383	420193
926	13398	420218
927	13412	420167
928	13425	420116
929	13440	420123
930	13454	420107
931	13469	420101
932	13481	420003
933	13498	420060
934	13513	420072
935	13527	420033
936	13540	420001
937	13555	419974
938	13571	420028
939	13585	419985
